Country,P_max,P_2 clusters,P_3 clusters,P_4 clusters,P_5 clusters,P_6 clusters
Belgium,C0,C0,C2,C3,C3,C5
Bulgaria,C0,C0,C2,C3,C3,C5
Czechia,C0,C0,C2,C3,C3,C5
Denmark,C0,C0,C2,C3,C3,C5
Germany,C1,C1,C1,C2,C4,C4
Estonia,C0,C0,C2,C3,C3,C5
Ireland,C0,C0,C2,C3,C3,C5
Greece,C0,C0,C2,C3,C3,C5
Spain,C1,C1,C1,C2,C4,C3
France,C1,C1,C1,C2,C4,C4
Croatia,C0,C0,C2,C3,C3,C5
Italy,C1,C1,C1,C2,C4,C3
Cyprus,C0,C0,C2,C3,C3,C5
Latvia,C0,C0,C2,C3,C3,C5
Lithuania,C0,C0,C2,C3,C3,C5
Luxembourg,C0,C0,C2,C3,C3,C5
Hungary,C0,C0,C2,C3,C3,C5
Malta,C0,C0,C2,C3,C3,C5
Netherlands,C0,C0,C2,C3,C3,C5
Austria,C0,C0,C2,C0,C0,C0
Poland,C0,C0,C2,C3,C3,C5
Portugal,C0,C0,C2,C3,C3,C5
Romania,C0,C0,C2,C3,C3,C5
Slovenia,C0,C0,C2,C3,C3,C5
Slovakia,C0,C0,C2,C3,C3,C5
Finland,C0,C0,C2,C3,C3,C5
Sweden,C0,C0,C2,C3,C3,C5
Iceland,C0,C0,C2,C3,C1,C1
Norway,C0,C0,C2,C3,C3,C5
Serbia,C0,C0,C2,C3,C3,C5
TÃ¼rkiye,C1,C1,C0,C1,C2,C2
