,BabiesBornWithDiseases,Gynaecologist,FertilityRate,BirthsWithLowerEd,BirthsLower2kg,BirthsBeforeTerm,AtRiskOfPoverty,Smoking,AlcoholConsumption,NoBeds,GreenhouseEmission
Belgium,-0.21205909469878811,-0.3148986569247893,0.24630339428279469,-0.14247867455480187,-0.22128159479643272,-0.3707957958403906,-0.29975519248097665,0.3567428170783445,2.105450276158315,-0.1464094033810367,0.1778171645895678
Bulgaria,-0.33176254682631734,-0.259535435578511,0.30787924285349305,0.05380511797531551,-0.436839257321953,-0.3707957958403906,-0.286501696277884,1.5194278419327054,0.06989925464107097,-0.27005790363820664,-0.4415459929696
Czechia,-0.39091013493639065,0.056953910741104063,1.4162445171260616,-0.1948301611372918,-0.2374687021263565,-0.22888629372863617,-0.4996264658663253,0.16746851070670457,-0.06142661771488025,-0.29002137732785516,0.5029828223081309
Denmark,-0.5415956570263392,-0.5092302881281223,1.0467894257018717,-0.23311014195692828,-0.4296194174020279,-0.3707957958403906,-0.5449448722381904,-0.7248246479024557,1.4488209143785589,0.03000878847615951,-0.06992809843409925
Germany,2.6101258236961367,4.185884681671436,0.12315169714139804,-0.1187237787692352,2.3483495344348495,-0.08697679161688172,2.9477789094123037,-0.2921976619101355,0.6280342121538637,4.415106582496655,0.08491269095569269
Estonia,-0.7218549731713244,-0.5901457654803752,0.4310309399948897,-0.16664495619100667,-0.6157828532195228,-0.22888629372863617,-0.6870993073197487,0.08635095083314481,-1.0463706603845144,-0.27566335883025767,0.31717387504038064
Ireland,-0.500755655712241,-0.5697487891949042,0.73891018284838,-0.19045259375229615,-0.4490361451823558,-0.3707957958403906,-0.5344703349163915,-0.3733152217836958,-0.7180559794946364,-0.6106449372542797,0.7816962432097565
Greece,-0.36133634088135397,0.10940327833231507,-0.7389101828483786,-0.19633857592296497,-0.3366820182815232,-0.3707957958403906,-0.17619840529730657,1.7087021483043454,-0.291246894337795,-0.3440944167324604,-0.27122112464082876
Spain,0.5047533421590047,0.6634837769881851,-1.970427154262344,-0.2345130731911558,0.6613448105413523,-0.08697679161688172,1.8475249584878228,0.9516049228177856,1.2846635739336199,0.5043532150776003,-0.5344504666034751
France,2.966419628263959,1.1377695112745205,1.9704271542623466,-0.16609644172348914,2.202591458817519,0.19684221260662713,2.2119961040728704,1.167918415813945,0.3982139355309489,1.4853608553045945,-0.4415459929696
Croatia,2.563652718752508,-0.47740203941892595,-0.18472754571209363,-0.2813794150984705,-0.5274909588773167,-0.22888629372863617,-0.5973175588471856,1.546467028557226,0.1355621908190465,-0.5994234305465633,-0.6118708612983711
Italy,-0.5458204847484873,2.0657198609651766,-1.6625479114088522,-0.22255123845721594,0.911979739625428,-0.3707957958403906,2.2998539579353072,-0.42739359503273566,1.645809722912486,0.9203542838578074,-0.37960967721368316
Cyprus,0.7343023150623843,-0.614353165907088,-0.9236377285604722,-0.25064150820719994,-0.6285726182640576,-0.08697679161688172,-0.7260047316578593,-0.26515847528561565,-0.7837189156726121,-0.7236547286025288,0.19330124352854694
Latvia,-0.719038421356559,-0.5796110634428243,0.24630339428279469,-0.2766221069282704,-0.5988429478860627,0.6225707189418903,-0.6550343971509761,-0.12996254216301553,-0.9478762561175511,-0.7166929439878265,-0.37960967721368316
Lithuania,-0.6627073850612512,-0.504523293600706,-0.18472754571209363,-0.20840589420835054,-0.5692302927417779,-0.3707957958403906,-0.6105710550502782,-1.5900786198870966,-1.0792021284735023,-0.6065547563390971,-0.5499345455424542
Luxembourg,-0.6514411778021896,-0.6253361531377262,-0.9236377285604722,-0.28786665351237967,-0.6421112808043385,-0.22888629372863617,-0.732203947623822,-0.7248246479024557,0.6936971483318393,-0.7319622463162678,1.1997663745621947
Hungary,-0.7288963527082379,-0.3559167520922748,0.49260678856558804,-0.12138196426566629,-0.3014097263334507,-0.22888629372863617,-0.38397902319095245,1.546467028557226,-0.25841542624880715,-0.31613071871389226,-0.4105778350916416
Malta,-0.29937220095651534,-0.6434917034577607,-2.339882245686534,-0.25596842755520666,-0.6500878192355901,-0.3707957958403906,-0.7360517368440747,0.518977936825465,0.0042363184630952845,-0.7361583904675952,-0.6118708612983711
Netherlands,-0.7246715249860898,-0.2770185581089147,0.18472754571209637,-0.23263546597542273,-0.009363106039302549,-0.3707957958403906,-0.1460573897386604,0.4378603769519048,0.9563488930437417,-0.29688779503002727,0.2552375592844638
Austria,0.2005657461643421,-0.20596535500458182,-0.43103093999488695,-0.1995769209523473,-0.34121050782611156,4.879855782294523,-0.4256634064103567,1.8979764546759863,-0.2255839581598193,-0.2686062073030252,-0.10089625631205767
Poland,-0.37682737586256365,0.7762275030496344,-0.7389101828483786,-0.10470501478210462,0.7185808618568468,-0.3707957958403906,0.49737847431470805,0.5730563100745049,-0.980707724206539,1.0001869859691723,0.1313649277726304
Portugal,1.0398981869644295,-0.23779360371377825,-0.615758485706982,-0.10551723812823634,-0.3375947371044635,-0.3707957958403906,-0.3125811565484857,-1.130412447270256,2.7620796379380717,-0.3910573229917609,-0.48799822978653756
Romania,-0.45850737849076006,-0.002443877342959672,1.7856996085502517,0.24259957835278975,0.10617383521844997,-0.22888629372863617,0.6367539505149726,-1.8334312995077764,-0.9150447880285634,0.3817113655638044,-0.8131638875051006
Slovenia,0.7934499031724576,-0.5746799263188643,0.49260678856558804,-0.2857253374180324,-0.5941038309207959,-0.3707957958403906,-0.6990702071160904,0.24858607058026483,0.0042363184630952845,-0.7273316528967475,-0.36412559827470403
Slovakia,-0.6936894550236705,-0.5672832206329242,0.49260678856558804,-0.19416561476318403,-0.44634089429922874,-0.3707957958403906,-0.5682453736274985,0.19450769733122497,-0.8822133199395755,-0.4753298846975859,-0.47251415084755827
Finland,-0.3444370299927616,-0.48681602847375866,-0.8620618799897739,-0.2357577790982148,-0.48607536715945376,-0.3707957958403906,-0.5676040754241231,-1.130412447270256,-0.6523930433166609,-0.6117469549101839,-0.19380072994593278
Sweden,-0.626092211469301,-0.3460544778443548,0.9852135771311733,-0.13753149599199957,-0.22624694121353947,0.054932710494872694,-0.34314970424271546,-1.292647567017376,-0.5867301071386852,0.2677585014138682,-1.2157499399185598
Iceland,-0.3627446167887367,-0.6484228405817207,1.293092819984665,-0.25521949433994234,-0.6497055694721365,-0.3707957958403906,-0.245672377329647,-1.0492948873966963,-1.0135391922955268,-0.7446036603883224,4.699168214771492
Norway,-0.4965308279900929,-0.506988862162686,-0.18472754571209363,-0.22375375094369665,-0.4606596583975782,-0.22888629372863617,-0.5701692682376248,-0.6707462746534159,-0.6852245114056488,0.3324066717857076,-0.4260619140306207
Serbia,-0.3486618577149097,-0.3745205876053967,-0.18472754571209363,-0.22152804800819287,-0.4266745340203189,-0.3707957958403906,-0.3514865808865963,-0.7518638345269757,0.06989925464107097,-0.4469105447635959,-0.5034823087255167
TÃ¼rkiye,-0.3134549600303423,1.2767379211315752,-0.3078792428534903,5.447717069505198,3.6734105384312508,2.0416657400594347,1.258171909585784,-0.5355503415308158,-1.0792021284735023,0.992695385173747,0.9365370325995485
